name,short_name,gender,birth_date,country,country_code,discipline,discipline_code
TRABER Gregor,TRABER G,Male,1992-12-02,Germany,GER,Athletics,ATH
TRACEY Tyquendo,TRACEY T,Male,1993-06-10,Jamaica,JAM,Athletics,ATH
TRAETS Laura,TRAETS L,Female,1998-12-13,Bulgaria,BUL,Rhythmic Gymnastics,GRY
TRAINOR Conor,TRAINOR C,Male,1989-12-05,Canada,CAN,Rugby Sevens,RUG
TRAJDOS Martyna,TRAJDOS M,Female,1989-04-05,Germany,GER,Judo,JUD
TRAJKOVIC Ivan Konrad,TRAJKOVIC IK,Male,1991-09-01,Slovenia,SLO,Taekwondo,TKW
TRAJKOVIC Milan,TRAJKOVIC M,Male,1992-03-17,Cyprus,CYP,Athletics,ATH
TRAORE Aminata Charlene,TRAORE AC,Female,1999-02-25,Côte d'Ivoire,CIV,Taekwondo,TKW
TRAPLETTI Valentina,TRAPLETTI V,Female,1985-07-12,Italy,ITA,Athletics,ATH
TRATNIK Jan,TRATNIK J,Male,1990-02-23,Slovenia,SLO,Cycling Road,CRD
TRAUKOVA Hanna,TRAUKOVA H,Female,2001-08-01,Belarus,BLR,Artistic Gymnastics,GAR
TRAVASCIO Victoria,TRAVASCIO V,Female,1988-07-14,Argentina,ARG,Sailing,SAL
TREMBLE Charlotte,TREMBLE C,Female,1999-06-04,France,FRA,Artistic Swimming,SWA
TREMBLE Laura,TREMBLE L,Female,1999-06-04,France,FRA,Artistic Swimming,SWA
TREVISAN Giancarla,TREVISAN G,Female,1993-02-17,Italy,ITA,Athletics,ATH
TRIFONOVA Polina,TRIFONOVA P,Female,1992-01-24,Bulgaria,BUL,Table Tennis,TTE
TRIKI Yasser Mohamed,TRIKI YM,Male,1997-03-24,Algeria,ALG,Athletics,ATH
TRINCHINETTI Eugenia Maria,TRINCHINETTI EM,Female,1997-07-17,Argentina,ARG,Hockey,HOC
TRIPPAS Edward,TRIPPAS E,Male,1998-09-22,Australia,AUS,Athletics,ATH
TRIPPEL Eduard,TRIPPEL E,Male,1997-03-26,Germany,GER,Judo,JUD
TRITTEL PAUL Florian,TRITTEL PAUL F,Male,1994-05-23,Spain,ESP,Sailing,SAL
TROIANOVSKYI Ihor,TROIANOVSKYI I,Male,2002-08-09,Ukraine,UKR,Swimming,SWM
TROST Alessia,TROST A,Female,1993-03-08,Italy,ITA,Athletics,ATH
TROST Katharina,TROST K,Female,1995-06-28,Germany,GER,Athletics,ATH
TRSTENJAK Tina,TRSTENJAK T,Female,1990-08-24,Slovenia,SLO,Judo,JUD
TRUNDA Miroslav,TRUNDA M,Male,1984-11-03,Czech Republic,CZE,Equestrian,EQU
