medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-07-31,FELIZ LA,FELIZ Lidio Andres,W,DOM,ATH,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,2021-07-31,PAULINO M,PAULINO Marileidy,W,DOM,ATH,4 x 400m Relay Mixed,Dominican Republic,Athletics
Silver Medal,2,2021-07-31,MEDINA VENTURA A,MEDINA VENTURA Anabel,W,DOM,ATH,4 x 400m Relay Mixed,Dominican Republic,Athletics
Bronze Medal,3,2021-07-31,GODWIN E,GODWIN Elija,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,DEADMON B,DEADMON Bryce,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,ELLIS K,ELLIS Kendall,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,WHITNEY K,WHITNEY Kaylin,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,STEWART T,STEWART Trevor,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,MANSON T,MANSON Taylor,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,IRBY L,IRBY Lynna,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Bronze Medal,3,2021-07-31,NORWOOD V,NORWOOD Vernon,W,USA,ATH,4 x 400m Relay Mixed,United States of America,Athletics
Gold Medal,1,2021-07-31,STAHL D,STAHL Daniel,M,SWE,ATH,Men's Discus Throw,Sweden,Athletics
Silver Medal,2,2021-07-31,PETTERSSON S,PETTERSSON Simon,M,SWE,ATH,Men's Discus Throw,Sweden,Athletics
Bronze Medal,3,2021-07-31,WEISSHAIDINGER L,WEISSHAIDINGER Lukas,M,AUT,ATH,Men's Discus Throw,Austria,Athletics
Gold Medal,1,2021-07-31,THOMPSON-HERAH E,THOMPSON-HERAH Elaine,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Silver Medal,2,2021-07-31,FRASER-PRYCE SA,FRASER-PRYCE Shelly-Ann,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Bronze Medal,3,2021-07-31,JACKSON S,JACKSON Shericka,W,JAM,ATH,Women's 100m,Jamaica,Athletics
Gold Medal,1,2021-07-31,WANG CL,WANG Chi-Lin,M,TPE,BDM,Men's Doubles,Chinese Taipei,Badminton
Gold Medal,1,2021-07-31,LEE Y,LEE Yang,M,TPE,BDM,Men's Doubles,Chinese Taipei,Badminton
Silver Medal,2,2021-07-31,LI Jun Hui,LI Jun Hui,M,CHN,BDM,Men's Doubles,People's Republic of China,Badminton
Silver Medal,2,2021-07-31,LIU Y,LIU Yu Chen,M,CHN,BDM,Men's Doubles,People's Republic of China,Badminton
Bronze Medal,3,2021-07-31,CHIA A,CHIA Aaron,M,MAS,BDM,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,2021-07-31,SOH WY,SOH Wooi Yik,M,MAS,BDM,Men's Doubles,Malaysia,Badminton
Bronze Medal,3,2021-07-31,TESTA I,TESTA Irma,W,ITA,BOX,Women's Feather (54-57kg),Italy,Boxing
Bronze Medal,3,2021-07-31,ARTINGSTALL K,ARTINGSTALL Karriss,W,GBR,BOX,Women's Feather (54-57kg),Great Britain,Boxing
Gold Medal,1,2021-07-31,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Gold Medal,1,2021-07-31,NIKITINA O,NIKITINA Olga,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Gold Medal,1,2021-07-31,VELIKAYA S,VELIKAYA Sofya,W,ROC,FEN,Women's Sabre Team,ROC,Fencing
Silver Medal,2,2021-07-31,BALZER S,BALZER Sara,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,2021-07-31,BERDER C,BERDER Cecilia,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,2021-07-31,BRUNET M,BRUNET Manon,W,FRA,FEN,Women's Sabre Team,France,Fencing
Silver Medal,2,2021-07-31,LEMBACH C,LEMBACH Charlotte,W,FRA,FEN,Women's Sabre Team,France,Fencing
Bronze Medal,3,2021-07-31,KIM J,KIM Jiyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-31,YOON J,YOON Jisu,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-31,SEO J,SEO Jiyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Bronze Medal,3,2021-07-31,CHOI S,CHOI Sooyeon,W,KOR,FEN,Women's Sabre Team,Republic of Korea,Fencing
Gold Medal,1,2021-07-31,BUCHARD A,BUCHARD Amandine,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,RINER T,RINER Teddy,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,le BLOUCH K,le BLOUCH Kilian,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,CHAINE G,CHAINE Guillaume,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,CLERGET A,CLERGET Axel,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,IDDIR A,IDDIR Alexandre,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,DICKO R,DICKO Romane,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,MALONGA M,MALONGA Madeleine,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,AGBEGNENOU C,AGBEGNENOU Clarisse,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,PINOT M,PINOT Margaux,W,FRA,JUD,Mixed Team,France,Judo
Gold Medal,1,2021-07-31,CYSIQUE SL,CYSIQUE Sarah Leonie,W,FRA,JUD,Mixed Team,France,Judo
Silver Medal,2,2021-07-31,ABE U,ABE Uta,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,ARAI C,ARAI Chizuru,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,YOSHIDA T,YOSHIDA Tsukasa,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,TASHIRO M,TASHIRO Miku,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,SONE A,SONE Akira,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,HARASAWA H,HARASAWA Hisayoshi,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,HAMADA S,HAMADA Shori,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,NAGASE T,NAGASE Takanori,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,WOLF A,WOLF Aaron,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,MUKAI S,MUKAI Shoichiro,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,ONO S,ONO Shohei,W,JPN,JUD,Mixed Team,Japan,Judo
Silver Medal,2,2021-07-31,ABE H,ABE Hifumi,W,JPN,JUD,Mixed Team,Japan,Judo
Bronze Medal,3,2021-07-31,MUKI S,MUKI Sagi,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,BUTBUL T,BUTBUL Tohar,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,SASSON O,SASSON Or,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,KOCHMAN L,KOCHMAN Li,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,SHMAILOV B,SHMAILOV Baruch,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,PALTCHIK P,PALTCHIK Peter,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,LANIR I,LANIR Inbar,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,SHARIR G,SHARIR Gili,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,HERSHKO R,HERSHKO Raz,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,NELSON LEVY T,NELSON LEVY Timna,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,RISHONY S,RISHONY Shira,W,ISR,JUD,Mixed Team,Israel,Judo
Bronze Medal,3,2021-07-31,WAGNER AM,WAGNER Anna-Maria,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,MENZ K,MENZ Katharina,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,SCOCCIMARRO G,SCOCCIMARRO Giovanna,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,FREY KR,FREY Karl-Richard,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,RESSEL D,RESSEL Dominic,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,SEIDL S,SEIDL Sebastian,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,WANDTKE I,WANDTKE Igor,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,FREY J,FREY Johannes,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,TRIPPEL E,TRIPPEL Eduard,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,TRAJDOS M,TRAJDOS Martyna,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,STOLL T,STOLL Theresa,W,GER,JUD,Mixed Team,Germany,Judo
Bronze Medal,3,2021-07-31,GRABOWSKI J,GRABOWSKI Jasmin,W,GER,JUD,Mixed Team,Germany,Judo
Gold Medal,1,2021-07-31,BLYDE M,BLYDE Michaela,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,BROUGHTON G,BROUGHTON Gayle,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,POURI-LANE R,POURI-LANE Risi,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,SAILI A,SAILI Alena,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,KAKA S,KAKA Shiray,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,TUI R,TUI Ruby,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,FLUHLER S,FLUHLER Stacey,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,WILLISON T,WILLISON Tenika,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,WOODMAN P,WOODMAN Portia,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,NATHAN-WONG T,NATHAN-WONG Tyla,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,FITZPATRICK T,FITZPATRICK Theresa,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,HIRINI S,HIRINI Sarah,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Gold Medal,1,2021-07-31,BRAZIER K,BRAZIER Kelly,W,NZL,RUG,Women,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-31,BERTRAND C,BERTRAND Coralie,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,CIOFANI AC,CIOFANI Anne-Cecile,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,DROUIN C,DROUIN Caroline,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,GRASSINEAU C,GRASSINEAU Camille,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,GUERIN L,GUERIN Lina,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,HORTA F,HORTA Fanny,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,IZAR S,IZAR Shannon,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,JACQUET C,JACQUET Chloe,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,ULUTULE J,ULUTULE Jade,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,NEISEN C,NEISEN Carla,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,OKEMBA S,OKEMBA Seraphine,W,FRA,RUG,Women,France,Rugby Sevens
Silver Medal,2,2021-07-31,PELLE C,PELLE Chloe,W,FRA,RUG,Women,France,Rugby Sevens
Bronze Medal,3,2021-07-31,LIKUCEVA L,LIKUCEVA Laisana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,ULUNISAU R,ULUNISAU Reapi,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,ROQICA A,ROQICA Ana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,NAGASAU R,NAGASAU Rusila,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,SOLIKOVITI V,SOLIKOVITI Vasiti,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,TINAI L,TINAI Lavenia,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,NAIMASI AM,NAIMASI Ana Maria,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,RIWAI V,RIWAI Viniana,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,RADINIYAVUNI R,RADINIYAVUNI Roela,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,NAKOCI A,NAKOCI Alowesi,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,DAVEUA R,DAVEUA Raijieli,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,CAVURU L,CAVURU Lavena,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Bronze Medal,3,2021-07-31,DONU S,DONU Sesenieli,W,FIJ,RUG,Women,Fiji,Rugby Sevens
Gold Medal,1,2021-07-31,BADLOE K,BADLOE Kiran,M,NED,SAL,Men's Windsurfer - RS:X,Netherlands,Sailing
Silver Medal,2,2021-07-31,GOYARD T,GOYARD Thomas,M,FRA,SAL,Men's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,2021-07-31,BI K,BI Kun,M,CHN,SAL,Men's Windsurfer - RS:X,People's Republic of China,Sailing
Gold Medal,1,2021-07-31,LU Y,LU Yunxiu,W,CHN,SAL,Women's Windsurfer - RS:X,People's Republic of China,Sailing
Silver Medal,2,2021-07-31,PICON C,PICON Charline,W,FRA,SAL,Women's Windsurfer - RS:X,France,Sailing
Bronze Medal,3,2021-07-31,WILSON E,WILSON Emma,W,GBR,SAL,Women's Windsurfer - RS:X,Great Britain,Sailing
Gold Medal,1,2021-07-31,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,50m Rifle 3 Positions Women,Switzerland,Shooting
Silver Medal,2,2021-07-31,ZYKOVA Y,ZYKOVA Yulia,W,ROC,SHO,50m Rifle 3 Positions Women,ROC,Shooting
Bronze Medal,3,2021-07-31,KARIMOVA Y,KARIMOVA Yulia,W,ROC,SHO,50m Rifle 3 Positions Women,ROC,Shooting
Gold Medal,1,2021-07-31,FERNANDEZ A,FERNANDEZ Alberto,W,ESP,SHO,Trap Mixed Team,Spain,Shooting
Gold Medal,1,2021-07-31,GALVEZ F,GALVEZ Fatima,W,ESP,SHO,Trap Mixed Team,Spain,Shooting
Silver Medal,2,2021-07-31,PERILLI A,PERILLI Alessandra,W,SMR,SHO,Trap Mixed Team,San Marino,Shooting
Silver Medal,2,2021-07-31,BERTI GM,BERTI Gian Marco,W,SMR,SHO,Trap Mixed Team,San Marino,Shooting
Bronze Medal,3,2021-07-31,BERNAU MA,BERNAU Madelynn Ann,W,USA,SHO,Trap Mixed Team,United States of America,Shooting
Bronze Medal,3,2021-07-31,BURROWS B,BURROWS Brian,W,USA,SHO,Trap Mixed Team,United States of America,Shooting
Gold Medal,1,2021-07-31,DRESSEL C,DRESSEL Caeleb,M,USA,SWM,Men's 100m Butterfly,United States of America,Swimming
Silver Medal,2,2021-07-31,MILAK K,MILAK Kristof,M,HUN,SWM,Men's 100m Butterfly,Hungary,Swimming
Bronze Medal,3,2021-07-31,PONTI N,PONTI Noe,M,SUI,SWM,Men's 100m Butterfly,Switzerland,Swimming
Gold Medal,1,2021-07-31,ANDERSON F,ANDERSON Freya,W,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,2021-07-31,DAWSON K,DAWSON Kathleen,W,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,2021-07-31,GUY J,GUY James,W,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,2021-07-31,HOPKIN A,HOPKIN Anna,W,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Gold Medal,1,2021-07-31,PEATY A,PEATY Adam,W,GBR,SWM,Mixed 4 x 100m Medley Relay,Great Britain,Swimming
Silver Medal,2,2021-07-31,ZHANG Y,ZHANG Yufei,W,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,2021-07-31,YANG J,YANG Junxuan,W,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,2021-07-31,YAN Z,YAN Zibei,W,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Silver Medal,2,2021-07-31,XU J,XU Jiayu,W,CHN,SWM,Mixed 4 x 100m Medley Relay,People's Republic of China,Swimming
Bronze Medal,3,2021-07-31,TEMPLE M,TEMPLE Matthew,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,THROSSELL B,THROSSELL Brianna,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,COOPER I,COOPER Isaac,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,STUBBLETY-COOK I,STUBBLETY-COOK Izaac,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,McKEOWN K,McKEOWN Kaylee,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,McKEON E,McKEON Emma,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Bronze Medal,3,2021-07-31,CAMPBELL B,CAMPBELL Bronte,W,AUS,SWM,Mixed 4 x 100m Medley Relay,Australia,Swimming
Gold Medal,1,2021-07-31,McKEOWN K,McKEOWN Kaylee,W,AUS,SWM,Women's 200m Backstroke,Australia,Swimming
Silver Medal,2,2021-07-31,MASSE K,MASSE Kylie,W,CAN,SWM,Women's 200m Backstroke,Canada,Swimming
Bronze Medal,3,2021-07-31,SEEBOHM E,SEEBOHM Emily,W,AUS,SWM,Women's 200m Backstroke,Australia,Swimming
Gold Medal,1,2021-07-31,LEDECKY K,LEDECKY Kathleen,W,USA,SWM,Women's 800m Freestyle,United States of America,Swimming
Silver Medal,2,2021-07-31,TITMUS A,TITMUS Ariarne,W,AUS,SWM,Women's 800m Freestyle,Australia,Swimming
Bronze Medal,3,2021-07-31,QUADARELLA S,QUADARELLA Simona,W,ITA,SWM,Women's 800m Freestyle,Italy,Swimming
Bronze Medal,3,2021-07-31,CARRENO BUSTA P,CARRENO BUSTA Pablo,M,ESP,TEN,Men's Singles,Spain,Tennis
Bronze Medal,3,2021-07-31,PEERS J,PEERS John,W,AUS,TEN,Mixed Doubles,Australia,Tennis
Bronze Medal,3,2021-07-31,BARTY A,BARTY Ashleigh,W,AUS,TEN,Mixed Doubles,Australia,Tennis
Bronze Medal,3,2021-07-31,PIGOSSI L,PIGOSSI Laura,W,BRA,TEN,Women's Doubles,Brazil,Tennis
Bronze Medal,3,2021-07-31,STEFANI L,STEFANI Luisa,W,BRA,TEN,Women's Doubles,Brazil,Tennis
Gold Medal,1,2021-07-31,BENCIC B,BENCIC Belinda,W,SUI,TEN,Women's Singles,Switzerland,Tennis
Silver Medal,2,2021-07-31,VONDROUSOVA M,VONDROUSOVA Marketa,W,CZE,TEN,Women's Singles,Czech Republic,Tennis
Bronze Medal,3,2021-07-31,SVITOLINA E,SVITOLINA Elina,W,UKR,TEN,Women's Singles,Ukraine,Tennis
Gold Medal,1,2021-07-31,LITVINOVICH I,LITVINOVICH Ivan,M,BLR,GTR,Men,Belarus,Trampoline Gymnastics
Silver Medal,2,2021-07-31,DONG D,DONG Dong,M,CHN,GTR,Men,People's Republic of China,Trampoline Gymnastics
Bronze Medal,3,2021-07-31,SCHMIDT D,SCHMIDT Dylan,M,NZL,GTR,Men,New Zealand,Trampoline Gymnastics
Gold Medal,1,2021-07-31,TAYLOR-BROWN G,TAYLOR-BROWN Georgia,W,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,2021-07-31,YEE A,YEE Alex,W,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,2021-07-31,BROWNLEE J,BROWNLEE Jonathan,W,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Gold Medal,1,2021-07-31,LEARMONTH J,LEARMONTH Jessica,W,GBR,TRI,Mixed Relay,Great Britain,Triathlon
Silver Medal,2,2021-07-31,ZAFERES K,ZAFERES Katie,W,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,2021-07-31,PEARSON M,PEARSON Morgan,W,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,2021-07-31,KNIBB T,KNIBB Taylor,W,USA,TRI,Mixed Relay,United States of America,Triathlon
Silver Medal,2,2021-07-31,McDOWELL K,McDOWELL Kevin,W,USA,TRI,Mixed Relay,United States of America,Triathlon
Bronze Medal,3,2021-07-31,BEAUGRAND C,BEAUGRAND Cassandre,W,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,2021-07-31,CONINX D,CONINX Dorian,W,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,2021-07-31,LUIS V,LUIS Vincent,W,FRA,TRI,Mixed Relay,France,Triathlon
Bronze Medal,3,2021-07-31,PERIAULT L,PERIAULT Leonie,W,FRA,TRI,Mixed Relay,France,Triathlon
Gold Medal,1,2021-07-31,LYU X,LYU Xiaojun,M,CHN,WLF,Men's 81kg,People's Republic of China,Weightlifting
Silver Medal,2,2021-07-31,BONNAT MICHEL Z,BONNAT MICHEL Zacarias,M,DOM,WLF,Men's 81kg,Dominican Republic,Weightlifting
Bronze Medal,3,2021-07-31,PIZZOLATO A,PIZZOLATO Antonino,M,ITA,WLF,Men's 81kg,Italy,Weightlifting
Gold Medal,1,2021-07-31,ELBAKH FIEH,ELBAKH Fares Ibrahim E H,M,QAT,WLF,Men's 96kg,Qatar,Weightlifting
Silver Medal,2,2021-07-31,VALLENILLA SANCHEZ,VALLENILLA SANCHEZ Keydomar Giovan.,M,VEN,WLF,Men's 96kg,Venezuela,Weightlifting
Bronze Medal,3,2021-07-31,PLIESNOI A,PLIESNOI Anton,M,GEO,WLF,Men's 96kg,Georgia,Weightlifting
Gold Medal,1,2021-08-01,DOLGOPYAT A,DOLGOPYAT Artem,M,ISR,GAR,Men's Floor Exercise,Israel,Artistic Gymnastics
Silver Medal,2,2021-08-01,ZAPATA R,ZAPATA Rayderley,M,ESP,GAR,Men's Floor Exercise,Spain,Artistic Gymnastics
Bronze Medal,3,2021-08-01,XIAO R,XIAO Ruoteng,M,CHN,GAR,Men's Floor Exercise,People's Republic of China,Artistic Gymnastics
Gold Medal,1,2021-08-01,WHITLOCK M,WHITLOCK Max,M,GBR,GAR,Men's Pommel Horse,Great Britain,Artistic Gymnastics
Silver Medal,2,2021-08-01,LEE CK,LEE Chih Kai,M,TPE,GAR,Men's Pommel Horse,Chinese Taipei,Artistic Gymnastics
Bronze Medal,3,2021-08-01,KAYA K,KAYA Kazuma,M,JPN,GAR,Men's Pommel Horse,Japan,Artistic Gymnastics
Gold Medal,1,2021-08-01,DERWAEL N,DERWAEL Nina,W,BEL,GAR,Women's Uneven Bars,Belgium,Artistic Gymnastics
Silver Medal,2,2021-08-01,ILIANKOVA A,ILIANKOVA Anastasiia,W,ROC,GAR,Women's Uneven Bars,ROC,Artistic Gymnastics
Bronze Medal,3,2021-08-01,LEE S,LEE Sunisa,W,USA,GAR,Women's Uneven Bars,United States of America,Artistic Gymnastics
Gold Medal,1,2021-08-01,ANDRADE R,ANDRADE Rebeca,W,BRA,GAR,Women's Vault,Brazil,Artistic Gymnastics
Silver Medal,2,2021-08-01,SKINNER M,SKINNER Mykayla,W,USA,GAR,Women's Vault,United States of America,Artistic Gymnastics
Bronze Medal,3,2021-08-01,YEO S,YEO Seojeong,W,KOR,GAR,Women's Vault,Republic of Korea,Artistic Gymnastics
Gold Medal,1,2021-08-01,JACOBS LM,JACOBS Lamont Marcell,M,ITA,ATH,Men's 100m,Italy,Athletics
Silver Medal,2,2021-08-01,KERLEY F,KERLEY Fred,M,USA,ATH,Men's 100m,United States of America,Athletics
Bronze Medal,3,2021-08-01,de GRASSE A,de GRASSE Andre,M,CAN,ATH,Men's 100m,Canada,Athletics
Gold Medal,1,2021-08-01,BARSHIM ME,BARSHIM Mutaz Essa,M,QAT,ATH,Men's High Jump,Qatar,Athletics
Gold Medal,1,2021-08-01,TAMBERI G,TAMBERI Gianmarco,M,ITA,ATH,Men's High Jump,Italy,Athletics
Bronze Medal,3,2021-08-01,NEDASEKAU M,NEDASEKAU Maksim,M,BLR,ATH,Men's High Jump,Belarus,Athletics
Gold Medal,1,2021-08-01,GONG L,GONG Lijiao,W,CHN,ATH,Women's Shot Put,People's Republic of China,Athletics
Silver Medal,2,2021-08-01,SAUNDERS R,SAUNDERS Raven,W,USA,ATH,Women's Shot Put,United States of America,Athletics
Bronze Medal,3,2021-08-01,ADAMS V,ADAMS Valerie,W,NZL,ATH,Women's Shot Put,New Zealand,Athletics
Gold Medal,1,2021-08-01,ROJAS Y,ROJAS Yulimar,W,VEN,ATH,Women's Triple Jump,Venezuela,Athletics
Silver Medal,2,2021-08-01,MAMONA P,MAMONA Patricia,W,POR,ATH,Women's Triple Jump,Portugal,Athletics
Bronze Medal,3,2021-08-01,PELETEIRO A,PELETEIRO Ana,W,ESP,ATH,Women's Triple Jump,Spain,Athletics
Gold Medal,1,2021-08-01,CHEN Yu Fei,CHEN Yu Fei,W,CHN,BDM,Women's Singles,People's Republic of China,Badminton
Silver Medal,2,2021-08-01,TAI TY,TAI Tzu-Ying,W,TPE,BDM,Women's Singles,Chinese Taipei,Badminton
Bronze Medal,3,2021-08-01,PUSARLA VS,PUSARLA V. Sindhu,W,IND,BDM,Women's Singles,India,Badminton
